bsn,title,commutingarea,regionnumber,regiontitle,draftiness2018,seats2018,students2018,workload2018,classsizes2018,diffdraftiness2019,draftiness2019,seats2019,students2019,workload2019,classsizes2019,diffdraftiness2020,draftiness2020,seats2020,,,,,,,,,,,
,,,,,2018/19,,,,,2019/20,,,,,,2020/21,,,,Erw.,Erw.,bau,,,,günstiger Fall,,Plätze,für 2024
Nr.,Name,ESB,Pl-R,Planungsregion,"18/19
G38,Gustav-Falke-GS,10,7,Brunnenstraße,"3,5",504,467,93%,"22,2",,"3,5",504,532,106%,"25,3",,"3,5",504,4,2,,ja,2019,"MEB 16 + Mensa, BSO MEB",Schulbaufahrplan 17.04.18,"5,5",,,
G39,Vineta-GS,10,7,Brunnenstraße,3,432,424,98%,"23,6",,3,432,418,97%,"23,2",,3,432,3,,,nein,,,,"3,0",,,
G01,GS am Arkonaplatz (SESB),14,7,Brunnenstraße,2,288,455,158%,"37,9",,2,288,451,157%,"37,6",,2,288,2,,,nein,,,,"2,0",,,
G02,Papageno-GS,14,7,Brunnenstraße,"3,5",504,556,110%,"26,5",,"3,5",504,567,113%,"27,0",,"3,5",504,4,,"0,5",ja,2018,"temporäre Erweiterung, keine Größen-Angabe",Schulbaufahrplan 17.04.18,"3,5",,,
G46,GS am Koppenplatz,15,7,Brunnenstraße,5,720,767,107%,"25,6",,5,720,740,103%,"24,7",,5,720,6,1,,offen,k.A.,Bezirk prüft Erweiterung (keine BSO-Zif. angegeben!),Schulbaufahrplan 17.04.18,"6,0","6,0",864,890
G04,Kastanienbaum-GS,18,7,Brunnenstraße,"2,5",360,399,111%,"26,6",,"2,5",360,420,117%,"28,0",,"2,5",360,3,,,nein,,,,"2,5","2,5",360,470
G44,Allegro-GS,16,8,Tiergarten-Süd,"2,5",360,428,119%,"28,5",,"2,5",360,436,121%,"29,1",,"2,5",360,3,,,ja,,,,"2,5","2,5",360,540
G08,GS am Brandenburger Tor (SESB),17,9,Regierungsviertel,3,432,566,131%,"31,4",,3,432,565,131%,"31,4",,3,432,2,"1,5",,nein,k.A.,Arrondierung / Bezirk prüft Abbau Fremdnutzung,Schulbaufahrplan 17.04.18,"4,5","4,5",648,939
G10,City-GS,19,10,Heine-Viertel,"2,5",360,444,123%,"29,6",,"2,5",360,483,134%,"32,2",,"2,5",360,5,1,,ja,k.A.,Bezirk prüft Erweiterung. BSO IX,Schulbaufahrplan 17.04.18,"3,5",,,
Gn01,(Adalbert-GS),19,10,Heine-Viertel,,,,,,,,,,,,,,,,4,,ja,2023,BSO II,Schulbaufahrplan 17.04.18,"4,0",,,
Gn09,(Wallstraßen-GS),19,10,Heine-Viertel,,,,,,,,,,,,,,,,2,,offen,k.A.,Bezirk prüft Reaktivierung. BSO IX,Schulbaufahrplan 17.04.18,"2,0",,,
G07,GutsMuths-GS,20,11,Alexanderplatz,"2,5",360,362,101%,"24,1",,"2,5",360,350,97%,"23,3",,"2,5",360,3,"1,5",,ja,k.a.,Bezirk prüft Erweiterung. BSO IX,Schulbaufahrplan 17.04.18,"4,0","4,0",576,804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMEN,,,,,"111,5",16.056,16.015,,,,"113,0",16.272,16.067,,,,"114,0",16.416,"128,0",30,,,,,,"141,5",,3.960,5.117
